gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
919424966,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.5385,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,9 mi. W Cawlton,Oregon,PRESENT,NA,311e2740-f15a-11d8-b22f-b8a03c50a862,45.2941213,-123.3608196,12316,NA,NA,NA,NA,NA,1960-12-11,11,12,1960,2437931,2437931,PRESERVED_SPECIMEN,MSU,MR,MR.5385,PLC675,,NA,CC0_1_0,,P. L. Clifton,,Native,2024-01-24T16:41:15Z,,COORDINATE_REPROJECTED
911672894,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:41743,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus silvicola,,US,"SW TILLAMOOK, ECKLOFF ROAD",Oregon,PRESENT,NA,acac73b0-055d-11d8-b84f-b8a03c50a862,45.421124,-123.885338,1622,NA,NA,NA,NA,NA,1976-12-07,7,12,1976,2437931,2437931,PRESERVED_SPECIMEN,TTU,Mammals,41743,6019,,NA,CC_BY_4_0,,"BLAKE, D; JOHNSON, W",,Native,2024-01-24T21:24:58Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911647518,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:16275,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus longicaudus,,US,1 MI SE MUMBURG MT.,Oregon,PRESENT,NA,acac73b0-055d-11d8-b84f-b8a03c50a862,42.66843,-124.422913,1553,NA,NA,NA,NA,NA,1970-11-28,28,11,1970,2437931,2437931,PRESERVED_SPECIMEN,TTU,Mammals,16275,5185,,NA,CC_BY_4_0,,"JOHNSON, M",,Native,2024-01-24T21:24:59Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911647497,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:16276,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus longicaudus,,US,SW TILLAMOOK,Oregon,PRESENT,NA,acac73b0-055d-11d8-b84f-b8a03c50a862,45.45623,-123.844032,18520,NA,NA,NA,NA,NA,1970-09-05,5,9,1970,2437931,2437931,PRESERVED_SPECIMEN,TTU,Mammals,16276,5165,,NA,CC_BY_4_0,,"WALKER, A AND BAKER, D; JOHNSON, M",,Native,2024-01-24T21:24:59Z,,COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
897055448,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:47122?seid=1028669,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"T275, R4E, NW1/4, sec. 26,  elv. 5000 ft. (T:27N R:4E S:26 NW 1/4)",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,43.2,-122.3,1041,NA,NA,NA,NA,NA,1995-10-18,18,10,1995,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:47122,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Preparator(s): Derek J. Helmericks,,,2024-01-29T11:01:20Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050143,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42287?seid=1706603,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Lower Camp; 17.5 km SW of Alsea, 14.0 km E of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.29,-123.778,1200,NA,NA,NA,NA,NA,1996-04-24,24,4,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42287,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:20Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050140,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42278?seid=463509,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Upper Tobe; 10.0 km SSE of Alsea, 3.5 km NE of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.298,-123.572,1200,NA,NA,NA,NA,NA,1996-04-22,22,4,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42278,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:16Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050121,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42269?seid=1265458,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"East Fork; 8.0 km NNW of Blachly, 2.5 km SE of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.259,-123.581,1200,NA,NA,NA,NA,NA,1996-06-01/1996-08-31,NA,NA,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42269,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:21Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050117,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42277?seid=1537864,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"East Fork; 8.0 km NNW of Blachly, 2.5 km SE of Prairie Mtn",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,44.259,-123.581,1200,NA,NA,NA,NA,NA,1996-05-20,20,5,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42277,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:21Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897050112,377be098-626f-4cc2-b4b5-35700050669a,http://arctos.database.museum/guid/UAM:Mamm:42286?seid=1297157,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arborimus,Arborimus longicaudus,NA,SPECIES,"Arborimus longicaudus (True, 1890)",Arborimus longicaudus,,US,"Moon; 15 km NE of Beaver, 14 km NNE of Mt Hebo",Oregon,PRESENT,NA,d9699a79-4736-45c2-925c-f4033ac67d52,45.335,-123.65,1200,NA,NA,NA,NA,NA,1996-05-18,18,5,1996,2437931,2437931,PRESERVED_SPECIMEN,UAM,Mamm,UAM:Mamm:42286,,unknown,2000-09-12T00:00:00Z,CC_BY_NC_4_0,,Collector(s): Karl J. Martin; Preparator(s): Christopher J. Conroy,,,2024-01-29T11:01:21Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
