x,y,species cloglog values
1.0,1.0,0.16514926
2.0,2.0,0.5577487
3.0,3.0,0.028595814
4.0,4.0,0.25543827
5.0,5.0,0.019740896
6.0,6.0,0.15639353
7.0,7.0,0.16788076
8.0,8.0,0.69024664
9.0,9.0,0.019110018
10.0,10.0,0.48807627
11.0,11.0,0.0011487541
12.0,12.0,0.10135214
13.0,13.0,0.04772517
14.0,14.0,0.13934457
15.0,15.0,0.10558325
16.0,16.0,0.6221778
17.0,17.0,0.0018926074
18.0,18.0,0.6214279
19.0,19.0,0.04855372
20.0,20.0,0.7422017
21.0,21.0,0.46357253
22.0,22.0,0.0011857131
23.0,23.0,0.5580941
24.0,24.0,0.033740185
25.0,25.0,0.45305267
26.0,26.0,0.46851817
27.0,27.0,0.13300137
28.0,28.0,0.015582882
29.0,29.0,0.00583059
30.0,30.0,0.47030798
31.0,31.0,0.062985145
32.0,32.0,0.19542575
33.0,33.0,0.5728299
34.0,34.0,0.0058332714
35.0,35.0,0.64494514
36.0,36.0,0.34189573
37.0,37.0,0.047515087
38.0,38.0,0.1496842
39.0,39.0,0.5638874
40.0,40.0,0.13449122
41.0,41.0,0.13921395
42.0,42.0,0.14526615
43.0,43.0,0.6589091
44.0,44.0,0.66667
45.0,45.0,0.3270987
46.0,46.0,7.8351516E-4
47.0,47.0,0.15577704
48.0,48.0,0.08297248
49.0,49.0,0.045969523
50.0,50.0,0.53488404
51.0,51.0,0.17803255
52.0,52.0,0.26154736
53.0,53.0,0.009952396
54.0,54.0,0.67290485
55.0,55.0,0.48955968
56.0,56.0,0.66084903
57.0,57.0,0.017098017
58.0,58.0,0.2612431
59.0,59.0,0.58226466
60.0,60.0,0.22598758
61.0,61.0,0.023874493
62.0,62.0,0.58005977
63.0,63.0,0.021379985
64.0,64.0,0.09592739
65.0,65.0,0.0020474289
66.0,66.0,0.08994217
67.0,67.0,0.06970787
68.0,68.0,0.012006365
69.0,69.0,0.6545943
70.0,70.0,0.007581633
71.0,71.0,0.051214278
72.0,72.0,0.031144617
73.0,73.0,0.040451147
74.0,74.0,0.0031749543
75.0,75.0,0.15044257
76.0,76.0,0.20773984
77.0,77.0,0.27436775
78.0,78.0,0.0034601842
79.0,79.0,0.004510131
80.0,80.0,8.43648E-4
81.0,81.0,0.51670504
82.0,82.0,0.6912256
83.0,83.0,0.1701468
84.0,84.0,6.834219E-4
85.0,85.0,0.47806147
86.0,86.0,0.1573471
87.0,87.0,0.099777356
88.0,88.0,0.698294
89.0,89.0,0.111182205
90.0,90.0,0.74409163
91.0,91.0,0.023952765
92.0,92.0,0.6858168
93.0,93.0,0.5084546
94.0,94.0,0.32145986
95.0,95.0,0.15300053
96.0,96.0,0.18035324
97.0,97.0,0.23406136
98.0,98.0,0.009560494
99.0,99.0,0.64640886
100.0,100.0,0.66049534
101.0,101.0,0.5767939
102.0,102.0,0.0013028238
103.0,103.0,0.1853341
104.0,104.0,0.17660895
105.0,105.0,0.07350735
106.0,106.0,0.042091683
107.0,107.0,0.12564875
108.0,108.0,0.21364655
109.0,109.0,0.08097612
110.0,110.0,0.5957373
111.0,111.0,0.14489141
112.0,112.0,0.06505899
113.0,113.0,0.123627394
114.0,114.0,0.009260842
115.0,115.0,0.6170095
116.0,116.0,0.022456361
117.0,117.0,0.034384444
118.0,118.0,0.1906717
119.0,119.0,0.38229516
120.0,120.0,0.71428514
121.0,121.0,0.012057493
122.0,122.0,0.0038015777
123.0,123.0,0.55442685
124.0,124.0,0.29511455
125.0,125.0,0.48650807
126.0,126.0,0.06863474
127.0,127.0,0.19942947
128.0,128.0,0.18252707
129.0,129.0,0.0027110856
130.0,130.0,0.15498464
131.0,131.0,0.7340645
132.0,132.0,0.71390337
133.0,133.0,0.009944787
134.0,134.0,0.0013047885
135.0,135.0,0.021240676
136.0,136.0,0.72380227
137.0,137.0,0.25822642
138.0,138.0,0.42051
139.0,139.0,0.25739995
140.0,140.0,0.2119421
141.0,141.0,0.6438847
142.0,142.0,0.06393358
143.0,143.0,0.20840864
144.0,144.0,0.34605914
145.0,145.0,0.4065004
146.0,146.0,0.09033383
147.0,147.0,0.15239036
148.0,148.0,0.52518517
149.0,149.0,0.661857
150.0,150.0,0.6196974
151.0,151.0,0.020418083
152.0,152.0,0.20222285
153.0,153.0,0.22029768
154.0,154.0,0.5886274
155.0,155.0,0.6114088
156.0,156.0,0.22139063
157.0,157.0,0.723798
158.0,158.0,0.41679996
159.0,159.0,0.43951425
160.0,160.0,0.6106636
161.0,161.0,6.501124E-4
162.0,162.0,0.010255031
163.0,163.0,0.041686963
164.0,164.0,0.0036827016
165.0,165.0,0.023695974
166.0,166.0,0.0040515144
167.0,167.0,0.0011044908
168.0,168.0,0.0055246335
169.0,169.0,0.0016476375
170.0,170.0,0.6069101
171.0,171.0,0.6763109
172.0,172.0,0.0044646305
173.0,173.0,0.46565998
174.0,174.0,0.66868156
175.0,175.0,0.46332094
176.0,176.0,0.6319145
177.0,177.0,0.040072024
178.0,178.0,0.055389147
179.0,179.0,0.003264356
180.0,180.0,0.16834448
181.0,181.0,0.60112864
182.0,182.0,0.21744193
183.0,183.0,0.059526242
