Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.4422E-6,0.00024422,0.000650112,1,0,0
2.56737E-6,0.000500957,0.000683422,0.997229917,0,0
3.16953E-6,0.001112263,0.000843648,0.991689751,0,0
4.89576E-6,0.002894031,0.001302824,0.980609418,0,0
7.6967E-6,0.005484686,0.002047429,0.969529086,0,0
1.30168E-5,0.010227944,0.003460184,0.958448753,0,0
2.85802E-5,0.027277817,0.007581633,0.933518006,0,0
4.5361E-5,0.050295999,0.012006365,0.916897507,0,0
8.11602E-5,0.105885127,0.021379986,0.894736842,0,0
1.53583E-4,0.205763884,0.040072022,0.869806094,0,0
1.83643E-4,0.307728638,0.04772517,0.853185596,0,0
2.30472E-4,0.411064011,0.059526243,0.83933518,0.005464481,0
2.6702E-4,0.512271032,0.068634741,0.828254848,0.005464481,0
3.25281E-4,0.632317233,0.082972478,0.817174515,0.005464481,0
3.55548E-4,0.703265164,0.090333828,0.811634349,0.005464481,0
3.94737E-4,0.780609981,0.099777359,0.806094183,0.005464481,0
4.01312E-4,0.820741209,0.101352139,0.8033241,0.005464481,0
4.42617E-4,0.906906492,0.111182208,0.797783934,0.005464481,0
4.95571E-4,1.002948322,0.123627394,0.792243767,0.010928962,0
5.35956E-4,1.106968252,0.133001372,0.786703601,0.010928962,0
5.62963E-4,1.217506007,0.139213957,0.781163435,0.010928962,0
5.87814E-4,1.332640619,0.144891414,0.775623269,0.010928962,0
6.08921E-4,1.452478717,0.14968421,0.770083102,0.010928962,0
6.12272E-4,1.513705919,0.150442574,0.767313019,0.010928962,0
6.35927E-4,1.764987736,0.155777041,0.756232687,0.010928962,0
6.90157E-4,2.029947207,0.167880753,0.745152355,0.010928962,0
7.36254E-4,2.315813023,0.178032542,0.734072022,0.010928962,0
7.69762E-4,2.543160864,0.185334097,0.725761773,0.010928962,0
8.35306E-4,2.787793407,0.199429469,0.717451524,0.010928962,0
8.77664E-4,3.047852242,0.208408641,0.709141274,0.016393443,0
9.20765E-4,3.319634665,0.217441924,0.700831025,0.016393443,0
9.39762E-4,3.507060233,0.221390634,0.695290859,0.016393443,0
1.10768E-3,3.81416565,0.25543828,0.686980609,0.016393443,0
1.12177E-3,4.038100768,0.258226415,0.681440443,0.016393443,0
1.13862E-3,4.265669491,0.261547357,0.675900277,0.016393443,0
1.31332E-3,4.517440431,0.295114532,0.670360111,0.016393443,0
1.45637E-3,4.8013853,0.321459868,0.664819945,0.021857923,0
1.51434E-3,5.101589719,0.331853,0.659279778,0.021857923,0
1.56999E-3,5.258588959,0.341682339,0.656509695,0.027322404,0
1.59504E-3,5.575214271,0.346059155,0.650969529,0.032786885,0
1.80912E-3,5.926282252,0.382295169,0.645429363,0.038251366,0
1.90076E-3,6.116357997,0.397185614,0.64265928,0.038251366,0
1.95924E-3,6.312281879,0.406500405,0.639889197,0.043715847,0
2.02498E-3,6.514779989,0.416799955,0.637119114,0.043715847,0
2.17417E-3,6.937091494,0.439514245,0.631578947,0.043715847,0
2.24304E-3,7.161395678,0.449699971,0.628808864,0.043715847,0
2.26599E-3,7.387994815,0.453052681,0.626038781,0.049180328,0
2.33716E-3,7.621711176,0.463320928,0.623268698,0.049180328,0
2.33892E-3,7.855603635,0.463572531,0.620498615,0.049180328,0
2.35357E-3,8.090960288,0.465659964,0.617728532,0.049180328,0
2.37371E-3,8.328331087,0.46851817,0.614958449,0.049180328,0
2.38638E-3,8.566968671,0.470307984,0.612188366,0.049180328,0
2.44175E-3,8.811143865,0.478061466,0.609418283,0.049180328,0
2.46481E-3,9.057625239,0.481256892,0.606648199,0.049180328,0
2.50302E-3,9.307927483,0.486508064,0.603878116,0.054644809,0
2.51451E-3,9.559378359,0.488076257,0.601108033,0.054644809,0
2.52541E-3,9.811919025,0.489559687,0.59833795,0.054644809,0
2.54091E-3,10.066009966,0.491662529,0.595567867,0.054644809,0
2.55449E-3,10.32145926,0.49349792,0.592797784,0.06010929,0
2.55469E-3,10.576928124,0.493524315,0.590027701,0.06557377,0
2.61031E-3,10.8379588,0.500970123,0.587257618,0.071038251,0
2.61357E-3,11.099315832,0.501403614,0.584487535,0.076502732,0
2.66706E-3,11.366021498,0.508454634,0.581717452,0.081967213,0
2.6802E-3,11.634041693,0.510172238,0.578947368,0.081967213,0
2.73062E-3,11.90710409,0.516705053,0.576177285,0.087431694,0
2.79664E-3,12.18676833,0.525127043,0.573407202,0.087431694,0
2.7971E-3,12.466478551,0.525185183,0.570637119,0.092896175,0
2.87461E-3,12.753939096,0.534884014,0.567867036,0.092896175,0
3.03581E-3,13.057519622,0.554426828,0.565096953,0.092896175,0
3.06391E-3,13.363910343,0.557748681,0.56232687,0.092896175,0
3.06684E-3,13.67059448,0.558094091,0.559556787,0.092896175,0
3.06897E-3,13.977491562,0.558344599,0.556786704,0.092896175,0
3.10884E-3,14.288375984,0.563009175,0.55401662,0.098360656,0
3.1164E-3,14.910900331,0.563887434,0.548476454,0.109289617,0
3.15392E-3,15.226291922,0.568222583,0.545706371,0.109289617,0
3.1691E-3,15.543202116,0.569965094,0.542936288,0.114754098,0
